puzzle_id,solved,correct,time_seconds,nodes_explored,backtracks,arc_revisions,steps,error
lgp-test-5x4-1,True,True,0.0010,21,0,132,21,"{""1"": {""color"": ""blonde"", ""are"": ""Kailyn"", ""name"": ""Alice"", ""occupation"": ""artist""}, ""2"": {""color"": ""gray"", ""name"": ""Eric"", ""are"": ""Penny"", ""occupation"": ""doctor""}, ""3"": {""color"": ""red"", ""occupation"": ""engineer"", ""name"": ""Arnold"", ""are"": ""Aniya""}, ""4"": {""color"": ""black"", ""are"": ""Holly"", ""name"": ""Bob"", ""occupation"": ""lawyer""}, ""5"": {""name"": ""Peter"", ""are"": ""Janelle"", ""color"": ""brown"", ""occupation"": ""teacher""}}",
lgp-test-6x2-4,True,True,0.0010,13,0,86,13,"{""1"": {""name"": ""Eric"", ""model"": ""huawei p50""}, ""2"": {""name"": ""Peter"", ""model"": ""samsung galaxy s21""}, ""3"": {""name"": ""Bob"", ""model"": ""xiaomi mi 11""}, ""4"": {""name"": ""Alice"", ""model"": ""iphone 13""}, ""5"": {""name"": ""Carol"", ""model"": ""google pixel 6""}, ""6"": {""name"": ""Arnold"", ""model"": ""oneplus 9""}}",
lgp-test-4x4-2,True,False,0.0010,13,0,46,13,"{""1"": {""name"": ""Alice"", ""color"": ""green"", ""height"": ""very short""}, ""2"": {""name"": ""Peter"", ""color"": ""red"", ""height"": ""tall""}, ""3"": {""name"": ""Eric"", ""height"": ""average"", ""color"": ""yellow""}, ""4"": {""name"": ""Arnold"", ""height"": ""short"", ""color"": ""white""}}",
lgp-test-3x6-0,True,True,0.0010,19,0,61,19,"{""1"": {""name"": ""Eric"", ""color"": ""red"", ""model"": ""google pixel 6"", ""drink"": ""milk"", ""education"": ""associate"", ""flower"": ""lilies""}, ""2"": {""color"": ""white"", ""model"": ""iphone 13"", ""flower"": ""daffodils"", ""drink"": ""tea"", ""education"": ""bachelor"", ""name"": ""Arnold""}, ""3"": {""color"": ""yellow"", ""model"": ""samsung galaxy s21"", ""drink"": ""water"", ""education"": ""high school"", ""name"": ""Peter"", ""flower"": ""carnations""}}",
lgp-test-6x2-38,True,True,0.0010,13,0,94,13,"{""1"": {""name"": ""Alice"", ""child"": ""Alice""}, ""2"": {""name"": ""Bob"", ""child"": ""Meredith""}, ""3"": {""name"": ""Carol"", ""child"": ""Timothy""}, ""4"": {""name"": ""Eric"", ""child"": ""Bella""}, ""5"": {""name"": ""Arnold"", ""child"": ""Fred""}, ""6"": {""name"": ""Peter"", ""child"": ""Samantha""}}",
lgp-test-3x2-36,True,True,0.0000,7,0,17,7,"{""1"": {""name"": ""Eric"", ""occupation"": ""teacher""}, ""2"": {""name"": ""Peter"", ""occupation"": ""engineer""}, ""3"": {""name"": ""Arnold"", ""occupation"": ""doctor""}}",
lgp-test-5x2-27,True,True,0.0000,11,0,61,11,"{""1"": {""name"": ""Eric"", ""height"": ""very tall""}, ""2"": {""name"": ""Peter"", ""height"": ""short""}, ""3"": {""name"": ""Bob"", ""height"": ""very short""}, ""4"": {""name"": ""Alice"", ""height"": ""tall""}, ""5"": {""name"": ""Arnold"", ""height"": ""average""}}",
lgp-test-6x5-37,True,True,0.0050,125,120,204,125,"{""1"": {""name"": ""Carol"", ""nationalitie"": ""dane"", ""vacation"": ""city"", ""pet"": ""dog"", ""child"": ""Bella""}, ""2"": {""pet"": ""rabbit"", ""vacation"": ""mountain"", ""name"": ""Eric"", ""child"": ""Timothy"", ""nationalitie"": ""brit""}, ""3"": {""child"": ""Fred"", ""vacation"": ""cultural"", ""name"": ""Alice"", ""nationalitie"": ""chinese"", ""pet"": ""cat""}, ""4"": {""nationalitie"": ""swede"", ""vacation"": ""camping"", ""pet"": ""bird"", ""name"": ""Bob"", ""child"": ""Meredith""}, ""5"": {""name"": ""Peter"", ""child"": ""Alice"", ""vacation"": ""beach"", ""nationalitie"": ""german"", ""pet"": ""hamster""}, ""6"": {""name"": ""Arnold"", ""vacation"": ""cruise"", ""nationalitie"": ""norwegian"", ""child"": ""Samantha"", ""pet"": ""fish""}}",
lgp-test-4x6-22,True,False,0.0010,29,6,99,29,"{""1"": {""child"": ""Bella"", ""name"": ""Arnold"", ""occupation"": ""teacher"", ""drink"": ""coffee"", ""sport"": ""swimming"", ""flower"": ""lilies""}, ""2"": {""name"": ""Alice"", ""child"": ""Samantha"", ""occupation"": ""artist"", ""flower"": ""daffodils"", ""drink"": ""tea"", ""sport"": ""basketball""}, ""3"": {""child"": ""Fred"", ""name"": ""Peter"", ""occupation"": ""doctor"", ""sport"": ""tennis"", ""drink"": ""milk"", ""flower"": ""roses""}, ""4"": {""name"": ""Eric"", ""flower"": ""carnations"", ""child"": ""Meredith"", ""drink"": ""water"", ""occupation"": ""engineer"", ""sport"": ""soccer""}}",
lgp-test-3x3-32,True,True,0.0010,10,0,24,10,"{""1"": {""name"": ""Arnold"", ""hobby"": ""photography"", ""occupation"": ""engineer""}, ""2"": {""name"": ""Eric"", ""occupation"": ""teacher"", ""hobby"": ""gardening""}, ""3"": {""name"": ""Peter"", ""hobby"": ""cooking"", ""occupation"": ""doctor""}}",
lgp-test-3x2-1,True,True,0.0000,7,0,21,7,"{""1"": {""name"": ""Peter"", ""hobby"": ""cooking""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""photography""}, ""3"": {""name"": ""Eric"", ""hobby"": ""gardening""}}",
lgp-test-2x2-13,True,True,0.0000,5,0,4,5,"{""1"": {""name"": ""Eric"", ""education"": ""associate""}, ""2"": {""name"": ""Arnold"", ""education"": ""high school""}}",
lgp-test-4x2-27,True,True,0.0000,9,0,32,9,"{""1"": {""name"": ""Arnold"", ""color"": ""red""}, ""2"": {""name"": ""Eric"", ""color"": ""yellow""}, ""3"": {""name"": ""Alice"", ""color"": ""white""}, ""4"": {""name"": ""Peter"", ""color"": ""green""}}",
lgp-test-3x2-39,True,True,0.0000,7,0,17,7,"{""1"": {""name"": ""Eric"", ""cigar"": ""pall mall""}, ""2"": {""name"": ""Arnold"", ""cigar"": ""prince""}, ""3"": {""name"": ""Peter"", ""cigar"": ""blue master""}}",
lgp-test-2x4-4,True,True,0.0000,9,0,13,9,"{""1"": {""name"": ""Arnold"", ""house"": ""victorian"", ""height"": ""short"", ""education"": ""associate""}, ""2"": {""name"": ""Eric"", ""house"": ""colonial"", ""height"": ""very short"", ""education"": ""high school""}}",
lgp-test-4x5-12,True,False,0.0010,31,12,86,31,"{""1"": {""model"": ""oneplus 9"", ""nationalitie"": ""dane"", ""house"": ""victorian"", ""name"": ""Alice"", ""smoothie"": ""desert""}, ""2"": {""house"": ""craftsman"", ""model"": ""samsung galaxy s21"", ""name"": ""Arnold"", ""nationalitie"": ""brit"", ""smoothie"": ""watermelon""}, ""3"": {""house"": ""ranch"", ""nationalitie"": ""norwegian"", ""name"": ""Eric"", ""smoothie"": ""dragonfruit"", ""model"": ""iphone 13""}, ""4"": {""house"": ""colonial"", ""name"": ""Peter"", ""nationalitie"": ""swede"", ""model"": ""google pixel 6"", ""smoothie"": ""cherry""}}",
lgp-test-2x6-12,True,True,0.0000,13,0,26,13,"{""1"": {""name"": ""Eric"", ""education"": ""associate"", ""child"": ""Bella"", ""vacation"": ""beach"", ""occupation"": ""doctor"", ""house"": ""victorian""}, ""2"": {""name"": ""Arnold"", ""education"": ""high school"", ""child"": ""Fred"", ""vacation"": ""mountain"", ""occupation"": ""engineer"", ""house"": ""colonial""}}",
lgp-test-3x4-9,True,True,0.0010,13,0,43,13,"{""1"": {""month"": ""sept"", ""name"": ""Eric"", ""color"": ""yellow"", ""nationalitie"": ""swede""}, ""2"": {""month"": ""april"", ""name"": ""Arnold"", ""nationalitie"": ""dane"", ""color"": ""red""}, ""3"": {""month"": ""jan"", ""name"": ""Peter"", ""color"": ""white"", ""nationalitie"": ""brit""}}",
lgp-test-4x4-5,False,False,0.0000,1,1,79,1,,
lgp-test-3x5-9,True,False,0.0000,16,0,47,16,"{""1"": {""name"": ""Arnold"", ""animal"": ""horse"", ""height"": ""short"", ""child"": ""Bella"", ""vacation"": ""mountain""}, ""2"": {""name"": ""Peter"", ""animal"": ""bird"", ""height"": ""very short"", ""child"": ""Meredith"", ""vacation"": ""beach""}, ""3"": {""name"": ""Eric"", ""vacation"": ""city"", ""animal"": ""cat"", ""height"": ""average"", ""child"": ""Fred""}}",
lgp-test-5x4-3,True,True,0.0030,84,80,108,84,"{""1"": {""genre"": ""pop"", ""name"": ""Arnold"", ""are"": ""Kailyn"", ""lunch"": ""pizza""}, ""2"": {""name"": ""Eric"", ""are"": ""Aniya"", ""genre"": ""hip hop"", ""lunch"": ""grilled cheese""}, ""3"": {""genre"": ""classical"", ""name"": ""Bob"", ""are"": ""Janelle"", ""lunch"": ""stew""}, ""4"": {""genre"": ""rock"", ""are"": ""Penny"", ""name"": ""Peter"", ""lunch"": ""stir fry""}, ""5"": {""name"": ""Alice"", ""lunch"": ""spaghetti"", ""genre"": ""jazz"", ""are"": ""Holly""}}",
lgp-test-3x4-38,True,True,0.0010,21,9,37,21,"{""1"": {""name"": ""Arnold"", ""pet"": ""dog"", ""drink"": ""milk"", ""hobby"": ""gardening""}, ""2"": {""name"": ""Peter"", ""pet"": ""fish"", ""drink"": ""water"", ""hobby"": ""photography""}, ""3"": {""drink"": ""tea"", ""name"": ""Eric"", ""pet"": ""cat"", ""hobby"": ""cooking""}}",
lgp-test-4x3-14,True,False,0.0000,13,0,49,13,"{""1"": {""name"": ""Alice"", ""animal"": ""fish"", ""hobby"": ""photography""}, ""2"": {""name"": ""Peter"", ""animal"": ""cat"", ""hobby"": ""painting""}, ""3"": {""name"": ""Arnold"", ""animal"": ""horse"", ""hobby"": ""cooking""}, ""4"": {""name"": ""Eric"", ""animal"": ""bird"", ""hobby"": ""gardening""}}",
lgp-test-3x3-9,True,True,0.0000,17,9,31,17,"{""1"": {""name"": ""Arnold"", ""lunch"": ""pizza"", ""color"": ""white""}, ""2"": {""name"": ""Peter"", ""color"": ""red"", ""lunch"": ""grilled cheese""}, ""3"": {""name"": ""Eric"", ""lunch"": ""spaghetti"", ""color"": ""yellow""}}",
lgp-test-6x3-6,True,True,0.0030,78,86,119,78,"{""1"": {""name"": ""Arnold"", ""house"": ""colonial"", ""nationalitie"": ""brit""}, ""2"": {""nationalitie"": ""chinese"", ""name"": ""Peter"", ""house"": ""modern""}, ""3"": {""nationalitie"": ""swede"", ""name"": ""Alice"", ""house"": ""ranch""}, ""4"": {""nationalitie"": ""german"", ""name"": ""Bob"", ""house"": ""craftsman""}, ""5"": {""nationalitie"": ""dane"", ""house"": ""mediterranean"", ""name"": ""Carol""}, ""6"": {""house"": ""victorian"", ""nationalitie"": ""norwegian"", ""name"": ""Eric""}}",
lgp-test-3x3-39,True,True,0.0010,10,0,32,10,"{""1"": {""name"": ""Arnold"", ""house"": ""ranch"", ""flower"": ""carnations""}, ""2"": {""name"": ""Eric"", ""house"": ""colonial"", ""flower"": ""lilies""}, ""3"": {""name"": ""Peter"", ""house"": ""victorian"", ""flower"": ""daffodils""}}",
lgp-test-4x3-15,True,True,0.0010,13,0,64,13,"{""1"": {""house"": ""craftsman"", ""color"": ""white"", ""name"": ""Alice""}, ""2"": {""name"": ""Peter"", ""house"": ""colonial"", ""color"": ""red""}, ""3"": {""house"": ""ranch"", ""color"": ""green"", ""name"": ""Arnold""}, ""4"": {""name"": ""Eric"", ""house"": ""victorian"", ""color"": ""yellow""}}",
lgp-test-6x4-21,True,False,0.0020,25,0,160,25,"{""1"": {""house"": ""ranch"", ""model"": ""bmw 3 series"", ""are"": ""Janelle"", ""name"": ""Bob""}, ""2"": {""house"": ""craftsman"", ""model"": ""chevrolet silverado"", ""are"": ""Penny"", ""name"": ""Eric""}, ""3"": {""are"": ""Aniya"", ""model"": ""tesla model 3"", ""name"": ""Carol"", ""house"": ""victorian""}, ""4"": {""model"": ""honda civic"", ""are"": ""Sarah"", ""name"": ""Alice"", ""house"": ""colonial""}, ""5"": {""model"": ""ford f150"", ""are"": ""Kailyn"", ""name"": ""Arnold"", ""house"": ""mediterranean""}, ""6"": {""name"": ""Peter"", ""model"": ""toyota camry"", ""are"": ""Holly"", ""house"": ""modern""}}",
lgp-test-5x6-1,False,False,0.0010,0,0,205,0,,
lgp-test-4x5-27,True,False,0.0020,24,4,88,24,"{""1"": {""name"": ""Eric"", ""vacation"": ""city"", ""color"": ""yellow"", ""height"": ""short"", ""child"": ""Fred""}, ""2"": {""name"": ""Arnold"", ""color"": ""red"", ""height"": ""average"", ""child"": ""Bella"", ""vacation"": ""cruise""}, ""3"": {""name"": ""Alice"", ""color"": ""green"", ""height"": ""very short"", ""vacation"": ""beach"", ""child"": ""Meredith""}, ""4"": {""name"": ""Peter"", ""child"": ""Samantha"", ""color"": ""white"", ""height"": ""tall"", ""vacation"": ""mountain""}}",
lgp-test-2x6-20,True,True,0.0000,13,0,20,13,"{""1"": {""name"": ""Eric"", ""animal"": ""horse"", ""color"": ""red"", ""smoothie"": ""cherry"", ""genre"": ""science fiction"", ""lunch"": ""pizza""}, ""2"": {""name"": ""Arnold"", ""animal"": ""cat"", ""color"": ""yellow"", ""smoothie"": ""desert"", ""genre"": ""mystery"", ""lunch"": ""grilled cheese""}}",
lgp-test-4x5-37,True,True,0.0010,21,0,88,21,"{""1"": {""name"": ""Arnold"", ""smoothie"": ""desert"", ""sport"": ""tennis"", ""house"": ""colonial"", ""occupation"": ""doctor""}, ""2"": {""name"": ""Peter"", ""smoothie"": ""cherry"", ""sport"": ""swimming"", ""house"": ""victorian"", ""occupation"": ""teacher""}, ""3"": {""name"": ""Alice"", ""smoothie"": ""watermelon"", ""occupation"": ""engineer"", ""sport"": ""soccer"", ""house"": ""ranch""}, ""4"": {""name"": ""Eric"", ""sport"": ""basketball"", ""smoothie"": ""dragonfruit"", ""occupation"": ""artist"", ""house"": ""craftsman""}}",
lgp-test-5x2-28,True,True,0.0010,11,0,48,11,"{""1"": {""name"": ""Bob"", ""height"": ""very tall""}, ""2"": {""name"": ""Peter"", ""height"": ""short""}, ""3"": {""name"": ""Eric"", ""height"": ""average""}, ""4"": {""name"": ""Arnold"", ""height"": ""very short""}, ""5"": {""name"": ""Alice"", ""height"": ""tall""}}",
lgp-test-4x2-23,True,True,0.0000,9,0,39,9,"{""1"": {""cigar"": ""blue master"", ""name"": ""Arnold""}, ""2"": {""cigar"": ""dunhill"", ""name"": ""Eric""}, ""3"": {""cigar"": ""prince"", ""name"": ""Alice""}, ""4"": {""name"": ""Peter"", ""cigar"": ""pall mall""}}",
lgp-test-6x3-3,True,True,0.0010,19,1,139,19,"{""1"": {""sport"": ""tennis"", ""vacation"": ""cruise"", ""name"": ""Carol""}, ""2"": {""name"": ""Bob"", ""sport"": ""swimming"", ""vacation"": ""mountain""}, ""3"": {""vacation"": ""beach"", ""sport"": ""baseball"", ""name"": ""Arnold""}, ""4"": {""name"": ""Alice"", ""vacation"": ""camping"", ""sport"": ""basketball""}, ""5"": {""sport"": ""volleyball"", ""vacation"": ""city"", ""name"": ""Eric""}, ""6"": {""sport"": ""soccer"", ""vacation"": ""cultural"", ""name"": ""Peter""}}",
lgp-test-2x2-10,True,True,0.0000,5,0,4,5,"{""1"": {""name"": ""Arnold"", ""model"": ""ford f150""}, ""2"": {""name"": ""Eric"", ""model"": ""tesla model 3""}}",
lgp-test-2x6-39,True,True,0.0000,13,0,25,13,"{""1"": {""name"": ""Arnold"", ""genre"": ""mystery"", ""vacation"": ""beach"", ""smoothie"": ""cherry"", ""child"": ""Fred"", ""sport"": ""soccer""}, ""2"": {""name"": ""Eric"", ""genre"": ""science fiction"", ""vacation"": ""mountain"", ""smoothie"": ""desert"", ""child"": ""Bella"", ""sport"": ""basketball""}}",
lgp-test-4x2-25,True,True,0.0000,9,0,37,9,"{""1"": {""name"": ""Arnold"", ""education"": ""high school""}, ""2"": {""name"": ""Alice"", ""education"": ""associate""}, ""3"": {""name"": ""Eric"", ""education"": ""bachelor""}, ""4"": {""name"": ""Peter"", ""education"": ""master""}}",
lgp-test-4x5-14,True,False,0.0010,23,4,91,23,"{""1"": {""smoothie"": ""dragonfruit"", ""name"": ""Eric"", ""height"": ""average"", ""are"": ""Kailyn"", ""education"": ""associate""}, ""2"": {""smoothie"": ""cherry"", ""are"": ""Aniya"", ""height"": ""short"", ""name"": ""Peter"", ""education"": ""bachelor""}, ""3"": {""name"": ""Alice"", ""are"": ""Janelle"", ""height"": ""tall"", ""smoothie"": ""desert"", ""education"": ""master""}, ""4"": {""height"": ""very short"", ""education"": ""high school"", ""name"": ""Arnold"", ""are"": ""Holly"", ""smoothie"": ""watermelon""}}",
lgp-test-2x2-31,True,True,0.0000,5,0,6,5,"{""1"": {""name"": ""Eric"", ""vacation"": ""mountain""}, ""2"": {""name"": ""Arnold"", ""vacation"": ""beach""}}",
lgp-test-4x6-19,True,True,0.0015,25,0,113,25,"{""1"": {""flower"": ""lilies"", ""name"": ""Eric"", ""vacation"": ""city"", ""sport"": ""basketball"", ""month"": ""april"", ""color"": ""black""}, ""2"": {""vacation"": ""beach"", ""flower"": ""daffodils"", ""name"": ""Arnold"", ""color"": ""brown"", ""month"": ""feb"", ""sport"": ""swimming""}, ""3"": {""name"": ""Alice"", ""vacation"": ""cruise"", ""flower"": ""carnations"", ""sport"": ""tennis"", ""color"": ""blonde"", ""month"": ""jan""}, ""4"": {""vacation"": ""mountain"", ""name"": ""Peter"", ""flower"": ""roses"", ""color"": ""red"", ""sport"": ""soccer"", ""month"": ""sept""}}",
lgp-test-4x2-4,True,True,0.0000,9,0,34,9,"{""1"": {""name"": ""Peter"", ""genre"": ""romance""}, ""2"": {""name"": ""Eric"", ""genre"": ""mystery""}, ""3"": {""name"": ""Alice"", ""genre"": ""fantasy""}, ""4"": {""name"": ""Arnold"", ""genre"": ""science fiction""}}",
lgp-test-3x3-37,True,True,0.0000,10,0,29,10,"{""1"": {""name"": ""Peter"", ""hobby"": ""photography"", ""genre"": ""romance""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""gardening"", ""genre"": ""science fiction""}, ""3"": {""name"": ""Eric"", ""hobby"": ""cooking"", ""genre"": ""mystery""}}",
lgp-test-4x3-4,True,True,0.0010,26,16,51,26,"{""1"": {""name"": ""Eric"", ""color"": ""yellow"", ""vacation"": ""beach""}, ""2"": {""name"": ""Alice"", ""color"": ""white"", ""vacation"": ""cruise""}, ""3"": {""name"": ""Peter"", ""color"": ""green"", ""vacation"": ""mountain""}, ""4"": {""vacation"": ""city"", ""name"": ""Arnold"", ""color"": ""red""}}",
lgp-test-5x6-11,True,False,0.0030,69,50,172,69,"{""1"": {""name"": ""Arnold"", ""hobby"": ""knitting"", ""month"": ""jan"", ""education"": ""master"", ""occupation"": ""lawyer"", ""sport"": ""basketball""}, ""2"": {""name"": ""Peter"", ""month"": ""mar"", ""occupation"": ""artist"", ""sport"": ""swimming"", ""education"": ""doctorate"", ""hobby"": ""painting""}, ""3"": {""name"": ""Alice"", ""occupation"": ""doctor"", ""sport"": ""baseball"", ""education"": ""high school"", ""month"": ""april"", ""hobby"": ""cooking""}, ""4"": {""name"": ""Bob"", ""occupation"": ""teacher"", ""month"": ""feb"", ""sport"": ""soccer"", ""education"": ""associate"", ""hobby"": ""gardening""}, ""5"": {""name"": ""Eric"", ""occupation"": ""engineer"", ""sport"": ""tennis"", ""month"": ""sept"", ""education"": ""bachelor"", ""hobby"": ""photography""}}",
lgp-test-3x6-12,True,True,0.0010,19,0,61,19,"{""1"": {""name"": ""Arnold"", ""child"": ""Bella"", ""month"": ""april"", ""smoothie"": ""desert"", ""lunch"": ""grilled cheese"", ""are"": ""Aniya""}, ""2"": {""name"": ""Peter"", ""child"": ""Meredith"", ""month"": ""jan"", ""smoothie"": ""cherry"", ""lunch"": ""spaghetti"", ""are"": ""Janelle""}, ""3"": {""name"": ""Eric"", ""child"": ""Fred"", ""month"": ""sept"", ""smoothie"": ""watermelon"", ""lunch"": ""pizza"", ""are"": ""Holly""}}",
lgp-test-5x5-2,True,True,0.0090,387,427,142,387,"{""1"": {""animal"": ""bird"", ""name"": ""Arnold"", ""vacation"": ""beach"", ""month"": ""jan"", ""genre"": ""biography""}, ""2"": {""name"": ""Peter"", ""animal"": ""horse"", ""genre"": ""science fiction"", ""month"": ""sept"", ""vacation"": ""cruise""}, ""3"": {""name"": ""Bob"", ""animal"": ""cat"", ""month"": ""feb"", ""vacation"": ""city"", ""genre"": ""romance""}, ""4"": {""animal"": ""fish"", ""name"": ""Eric"", ""genre"": ""fantasy"", ""month"": ""mar"", ""vacation"": ""mountain""}, ""5"": {""name"": ""Alice"", ""animal"": ""dog"", ""genre"": ""mystery"", ""month"": ""april"", ""vacation"": ""camping""}}",
lgp-test-4x2-0,True,True,0.0000,9,0,44,9,"{""1"": {""name"": ""Arnold"", ""occupation"": ""engineer""}, ""2"": {""name"": ""Eric"", ""occupation"": ""artist""}, ""3"": {""name"": ""Alice"", ""occupation"": ""teacher""}, ""4"": {""name"": ""Peter"", ""occupation"": ""doctor""}}",
lgp-test-2x3-38,True,True,0.0000,7,0,11,7,"{""1"": {""name"": ""Arnold"", ""color"": ""brown"", ""pet"": ""cat""}, ""2"": {""name"": ""Eric"", ""color"": ""black"", ""pet"": ""dog""}}",
lgp-test-4x5-17,False,False,0.0010,8,9,74,8,,
lgp-test-4x6-15,True,True,0.0010,29,5,102,29,"{""1"": {""name"": ""Alice"", ""flower"": ""carnations"", ""genre"": ""science fiction"", ""lunch"": ""stew"", ""vacation"": ""beach"", ""color"": ""blonde""}, ""2"": {""flower"": ""lilies"", ""name"": ""Arnold"", ""lunch"": ""pizza"", ""genre"": ""mystery"", ""vacation"": ""cruise"", ""color"": ""brown""}, ""3"": {""vacation"": ""city"", ""name"": ""Peter"", ""genre"": ""romance"", ""flower"": ""roses"", ""color"": ""black"", ""lunch"": ""grilled cheese""}, ""4"": {""name"": ""Eric"", ""flower"": ""daffodils"", ""genre"": ""fantasy"", ""vacation"": ""mountain"", ""color"": ""red"", ""lunch"": ""spaghetti""}}",
lgp-test-4x5-28,True,True,0.0010,37,24,89,37,"{""1"": {""name"": ""Peter"", ""model"": ""toyota camry"", ""occupation"": ""engineer"", ""month"": ""april"", ""lunch"": ""grilled cheese""}, ""2"": {""name"": ""Arnold"", ""occupation"": ""artist"", ""model"": ""ford f150"", ""month"": ""feb"", ""lunch"": ""stew""}, ""3"": {""name"": ""Eric"", ""model"": ""honda civic"", ""month"": ""sept"", ""lunch"": ""pizza"", ""occupation"": ""teacher""}, ""4"": {""name"": ""Alice"", ""model"": ""tesla model 3"", ""month"": ""jan"", ""occupation"": ""doctor"", ""lunch"": ""spaghetti""}}",
lgp-test-5x4-30,True,True,0.0010,21,0,131,21,"{""1"": {""name"": ""Alice"", ""are"": ""Penny"", ""child"": ""Timothy"", ""sport"": ""swimming""}, ""2"": {""name"": ""Arnold"", ""child"": ""Meredith"", ""sport"": ""basketball"", ""are"": ""Janelle""}, ""3"": {""name"": ""Eric"", ""are"": ""Kailyn"", ""child"": ""Samantha"", ""sport"": ""baseball""}, ""4"": {""name"": ""Peter"", ""child"": ""Fred"", ""sport"": ""tennis"", ""are"": ""Holly""}, ""5"": {""name"": ""Bob"", ""child"": ""Bella"", ""sport"": ""soccer"", ""are"": ""Aniya""}}",
lgp-test-2x3-1,True,True,0.0000,7,0,8,7,"{""1"": {""name"": ""Eric"", ""model"": ""ford f150"", ""animal"": ""horse""}, ""2"": {""name"": ""Arnold"", ""model"": ""tesla model 3"", ""animal"": ""cat""}}",
lgp-test-6x4-5,True,False,0.0020,22,6,113,22,"{""1"": {""name"": ""Peter"", ""model"": ""huawei p50"", ""genre"": ""biography""}, ""2"": {""model"": ""iphone 13"", ""name"": ""Arnold"", ""genre"": ""historical fiction""}, ""3"": {""model"": ""xiaomi mi 11"", ""genre"": ""science fiction"", ""name"": ""Alice""}, ""4"": {""model"": ""samsung galaxy s21"", ""name"": ""Eric"", ""genre"": ""mystery""}, ""5"": {""model"": ""oneplus 9"", ""name"": ""Bob"", ""genre"": ""fantasy""}, ""6"": {""model"": ""google pixel 6"", ""name"": ""Carol"", ""genre"": ""romance""}}",
lgp-test-5x2-32,True,True,0.0010,11,0,60,11,"{""1"": {""name"": ""Arnold"", ""occupation"": ""lawyer""}, ""2"": {""name"": ""Alice"", ""occupation"": ""doctor""}, ""3"": {""occupation"": ""artist"", ""name"": ""Peter""}, ""4"": {""name"": ""Bob"", ""occupation"": ""engineer""}, ""5"": {""name"": ""Eric"", ""occupation"": ""teacher""}}",
lgp-test-6x3-18,True,True,0.0010,36,24,127,36,"{""1"": {""pet"": ""dog"", ""name"": ""Bob"", ""are"": ""Penny""}, ""2"": {""name"": ""Peter"", ""are"": ""Sarah"", ""pet"": ""fish""}, ""3"": {""name"": ""Arnold"", ""pet"": ""cat"", ""are"": ""Janelle""}, ""4"": {""are"": ""Holly"", ""name"": ""Alice"", ""pet"": ""bird""}, ""5"": {""pet"": ""hamster"", ""are"": ""Aniya"", ""name"": ""Carol""}, ""6"": {""pet"": ""rabbit"", ""name"": ""Eric"", ""are"": ""Kailyn""}}",
lgp-test-2x5-19,True,True,0.0000,9,0,10,9,"{""1"": {""name"": ""Eric"", ""child"": ""Bella"", ""model"": ""iphone 13"", ""genre"": ""pop""}, ""2"": {""name"": ""Arnold"", ""child"": ""Fred"", ""model"": ""samsung galaxy s21"", ""genre"": ""rock""}}",
lgp-test-3x6-25,False,False,0.0000,0,0,1,0,,
lgp-test-4x3-16,True,True,0.0000,14,2,57,14,"{""1"": {""name"": ""Alice"", ""child"": ""Fred"", ""house"": ""colonial""}, ""2"": {""child"": ""Bella"", ""name"": ""Arnold"", ""house"": ""victorian""}, ""3"": {""name"": ""Eric"", ""child"": ""Meredith"", ""house"": ""craftsman""}, ""4"": {""name"": ""Peter"", ""child"": ""Samantha"", ""house"": ""ranch""}}",
lgp-test-6x5-12,True,True,0.0020,31,1,215,31,"{""1"": {""name"": ""Carol"", ""smoothie"": ""watermelon"", ""nationalitie"": ""chinese"", ""genre"": ""jazz"", ""hobby"": ""cooking""}, ""2"": {""genre"": ""pop"", ""nationalitie"": ""swede"", ""name"": ""Eric"", ""smoothie"": ""dragonfruit"", ""hobby"": ""painting""}, ""3"": {""name"": ""Peter"", ""genre"": ""hip hop"", ""nationalitie"": ""norwegian"", ""smoothie"": ""desert"", ""hobby"": ""gardening""}, ""4"": {""name"": ""Alice"", ""genre"": ""country"", ""nationalitie"": ""german"", ""hobby"": ""knitting"", ""smoothie"": ""blueberry""}, ""5"": {""name"": ""Bob"", ""genre"": ""rock"", ""nationalitie"": ""brit"", ""smoothie"": ""lime"", ""hobby"": ""photography""}, ""6"": {""name"": ""Arnold"", ""hobby"": ""woodworking"", ""nationalitie"": ""dane"", ""genre"": ""classical"", ""smoothie"": ""cherry""}}",
lgp-test-6x2-13,True,True,0.0010,13,0,85,13,"{""1"": {""name"": ""Bob"", ""house"": ""victorian""}, ""2"": {""name"": ""Eric"", ""house"": ""modern""}, ""3"": {""house"": ""colonial"", ""name"": ""Arnold""}, ""4"": {""house"": ""mediterranean"", ""name"": ""Peter""}, ""5"": {""house"": ""craftsman"", ""name"": ""Carol""}, ""6"": {""name"": ""Alice"", ""house"": ""ranch""}}",
lgp-test-2x5-20,True,True,0.0000,11,0,18,11,"{""1"": {""name"": ""Eric"", ""color"": ""brown"", ""sport"": ""soccer"", ""occupation"": ""doctor"", ""month"": ""april""}, ""2"": {""name"": ""Arnold"", ""color"": ""black"", ""sport"": ""basketball"", ""occupation"": ""engineer"", ""month"": ""sept""}}",
