id,grid_solution,steps
lgp-test-6x4-12,"{""header"": [""House"", ""Color"", ""Name"", ""Nationalitie"", ""Pet""], ""rows"": [[""1"", ""red"", ""Carol"", ""brit"", ""cat""], [""2"", ""green"", ""Peter"", ""chinese"", ""bird""], [""3"", ""purple"", ""Eric"", ""swede"", ""rabbit""], [""4"", ""blue"", ""Bob"", ""norwegian"", ""hamster""], [""5"", ""yellow"", ""Alice"", ""dane"", ""fish""], [""6"", ""white"", ""Arnold"", ""german"", ""dog""]]}",25
lgp-test-3x6-15,"{""header"": [""House"", ""Education"", ""Genre"", ""Name"", ""Occupation"", ""Sport"", ""Vacation""], ""rows"": [[""1"", ""bachelor"", ""rock"", ""Peter"", ""doctor"", ""tennis"", ""city""], [""2"", ""high school"", ""pop"", ""Arnold"", ""teacher"", ""basketball"", ""mountain""], [""3"", ""associate"", ""classical"", ""Eric"", ""engineer"", ""soccer"", ""beach""]]}",19
lgp-test-2x6-18,"{""header"": [""House"", ""Education"", ""Model"", ""Month"", ""Name"", ""Nationalitie"", ""Occupation""], ""rows"": [[""1"", ""associate"", ""samsung galaxy s21"", ""sept"", ""Arnold"", ""brit"", ""engineer""], [""2"", ""high school"", ""iphone 13"", ""april"", ""Eric"", ""dane"", ""doctor""]]}",13
lgp-test-2x2-26,"{""header"": [""House"", ""Color"", ""Name""], ""rows"": [[""1"", ""black"", ""Arnold""], [""2"", ""brown"", ""Eric""]]}",5
lgp-test-3x5-29,"{""header"": [""House"", ""Cigar"", ""Flower"", ""Model"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""blue master"", ""carnations"", ""google pixel 6"", ""Eric"", ""teacher""], [""2"", ""prince"", ""lilies"", ""samsung galaxy s21"", ""Arnold"", ""doctor""], [""3"", ""pall mall"", ""daffodils"", ""iphone 13"", ""Peter"", ""engineer""]]}",16
lgp-test-4x4-19,"{""header"": [""House"", ""Cigar"", ""Color"", ""Education"", ""Name""], ""rows"": [[""1"", ""dunhill"", ""green"", ""associate"", ""Alice""], [""2"", ""prince"", ""red"", ""high school"", ""Eric""], [""3"", ""blue master"", ""yellow"", ""bachelor"", ""Peter""], [""4"", ""pall mall"", ""white"", ""master"", ""Arnold""]]}",17
lgp-test-4x3-34,"{""header"": [""House"", ""Name"", ""Sport"", ""Vacation""], ""rows"": [[""1"", ""Arnold"", ""swimming"", ""cruise""], [""2"", ""Alice"", ""tennis"", ""mountain""], [""3"", ""Peter"", ""basketball"", ""city""], [""4"", ""Eric"", ""soccer"", ""beach""]]}",13
lgp-test-5x2-17,"{""header"": [""House"", ""House"", ""Name""], ""rows"": [[""1"", ""craftsman"", ""Arnold""], [""2"", ""modern"", ""Eric""], [""3"", ""ranch"", ""Peter""], [""4"", ""victorian"", ""Alice""], [""5"", ""colonial"", ""Bob""]]}",11
lgp-test-5x4-17,"{""header"": [""House"", ""Flower"", ""Model"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""lilies"", ""ford f150"", ""Arnold"", ""swede""], [""2"", ""carnations"", ""tesla model 3"", ""Peter"", ""norwegian""], [""3"", ""tulips"", ""bmw 3 series"", ""Eric"", ""brit""], [""4"", ""daffodils"", ""toyota camry"", ""Alice"", ""german""], [""5"", ""roses"", ""honda civic"", ""Bob"", ""dane""]]}",27
lgp-test-2x3-10,"{""header"": [""House"", ""Drink"", ""Model"", ""Name""], ""rows"": [[""1"", ""water"", ""samsung galaxy s21"", ""Arnold""], [""2"", ""tea"", ""iphone 13"", ""Eric""]]}",7
lgp-test-3x2-11,"{""header"": [""House"", ""Model"", ""Name""], ""rows"": [[""1"", ""samsung galaxy s21"", ""Peter""], [""2"", ""google pixel 6"", ""Eric""], [""3"", ""iphone 13"", ""Arnold""]]}",7
lgp-test-3x6-21,"{""header"": [""House"", ""Animal"", ""Child"", ""Genre"", ""Model"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""horse"", ""Meredith"", ""mystery"", ""toyota camry"", ""Arnold"", ""desert""], [""2"", ""cat"", ""Bella"", ""science fiction"", ""tesla model 3"", ""Peter"", ""cherry""], [""3"", ""bird"", ""Fred"", ""romance"", ""ford f150"", ""Eric"", ""watermelon""]]}",19
lgp-test-6x4-3,,8
lgp-test-2x6-13,"{""header"": [""House"", ""Child"", ""Education"", ""Genre"", ""Hobby"", ""Name"", ""Pet""], ""rows"": [[""1"", ""Bella"", ""associate"", ""pop"", ""gardening"", ""Arnold"", ""cat""], [""2"", ""Fred"", ""high school"", ""rock"", ""photography"", ""Eric"", ""dog""]]}",13
lgp-test-2x5-27,"{""header"": [""House"", ""Cigar"", ""Color"", ""Education"", ""Name""], ""rows"": [[""1"", ""prince"", ""black"", ""associate"", ""Eric""], [""2"", ""pall mall"", ""brown"", ""high school"", ""Arnold""]]}",9
lgp-test-4x2-19,"{""header"": [""House"", ""Genre"", ""Name""], ""rows"": [[""1"", ""jazz"", ""Arnold""], [""2"", ""classical"", ""Alice""], [""3"", ""rock"", ""Peter""], [""4"", ""pop"", ""Eric""]]}",14
lgp-test-6x6-1,,1
lgp-test-2x5-28,"{""header"": [""House"", ""Animal"", ""Lunch"", ""Model"", ""Name"", ""Sport""], ""rows"": [[""1"", ""cat"", ""pizza"", ""tesla model 3"", ""Eric"", ""basketball""], [""2"", ""horse"", ""grilled cheese"", ""ford f150"", ""Arnold"", ""soccer""]]}",11
lgp-test-6x6-15,,0
lgp-test-2x3-39,"{""header"": [""House"", ""Lunch"", ""Month"", ""Name""], ""rows"": [[""1"", ""grilled cheese"", ""april"", ""Arnold""], [""2"", ""pizza"", ""sept"", ""Eric""]]}",7
lgp-test-5x6-15,"{""header"": [""House"", ""Are"", ""Child"", ""Drink"", ""Name"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""Holly"", ""Timothy"", ""tea"", ""Eric"", ""fish"", ""tennis""], [""2"", ""Penny"", ""Fred"", ""root beer"", ""Alice"", ""bird"", ""swimming""], [""3"", ""Janelle"", ""Bella"", ""coffee"", ""Bob"", ""cat"", ""basketball""], [""4"", ""Aniya"", ""Samantha"", ""milk"", ""Arnold"", ""dog"", ""soccer""], [""5"", ""Kailyn"", ""Meredith"", ""water"", ""Peter"", ""hamster"", ""baseball""]]}",57
lgp-test-3x4-22,"{""header"": [""House"", ""Child"", ""Genre"", ""Name""], ""rows"": [[""1"", ""Meredith"", ""science fiction"", ""Peter""], [""2"", ""Fred"", ""romance"", ""Arnold""], [""3"", ""Bella"", ""mystery"", ""Eric""]]}",11
lgp-test-6x6-35,,3
lgp-test-4x5-5,,13
lgp-test-5x6-14,"{""header"": [""House"", ""Child"", ""Flower"", ""Genre"", ""Hobby"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""Meredith"", ""tulips"", ""hip hop"", ""gardening"", ""Eric"", ""cruise""], [""2"", ""Timothy"", ""carnations"", ""rock"", ""cooking"", ""Alice"", ""mountain""], [""3"", ""Bella"", ""roses"", ""jazz"", ""photography"", ""Arnold"", ""city""], [""4"", ""Fred"", ""lilies"", ""pop"", ""knitting"", ""Bob"", ""camping""], [""5"", ""Samantha"", ""daffodils"", ""classical"", ""painting"", ""Peter"", ""beach""]]}",70
lgp-test-3x2-31,"{""header"": [""House"", ""Genre"", ""Name""], ""rows"": [[""1"", ""pop"", ""Arnold""], [""2"", ""classical"", ""Peter""], [""3"", ""rock"", ""Eric""]]}",7
lgp-test-5x2-25,"{""header"": [""House"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""Peter"", ""dragonfruit""], [""2"", ""Arnold"", ""cherry""], [""3"", ""Bob"", ""lime""], [""4"", ""Eric"", ""watermelon""], [""5"", ""Alice"", ""desert""]]}",11
lgp-test-6x2-0,"{""header"": [""House"", ""House"", ""Name""], ""rows"": [[""1"", ""victorian"", ""Bob""], [""2"", ""modern"", ""Eric""], [""3"", ""colonial"", ""Arnold""], [""4"", ""mediterranean"", ""Alice""], [""5"", ""craftsman"", ""Peter""], [""6"", ""ranch"", ""Carol""]]}",13
lgp-test-4x6-1,"{""header"": [""House"", ""Cigar"", ""Flower"", ""Height"", ""Model"", ""Month"", ""Name""], ""rows"": [[""1"", ""pall mall"", ""roses"", ""average"", ""oneplus 9"", ""april"", ""Eric""], [""2"", ""blue master"", ""lilies"", ""short"", ""iphone 13"", ""sept"", ""Peter""], [""3"", ""prince"", ""carnations"", ""tall"", ""samsung galaxy s21"", ""feb"", ""Alice""], [""4"", ""dunhill"", ""daffodils"", ""very short"", ""google pixel 6"", ""jan"", ""Arnold""]]}",47
lgp-test-4x4-29,"{""header"": [""House"", ""Height"", ""Lunch"", ""Name"", ""Pet""], ""rows"": [[""1"", ""very short"", ""spaghetti"", ""Peter"", ""bird""], [""2"", ""average"", ""stew"", ""Eric"", ""fish""], [""3"", ""tall"", ""grilled cheese"", ""Arnold"", ""cat""], [""4"", ""short"", ""pizza"", ""Alice"", ""dog""]]}",21
lgp-test-6x3-0,"{""header"": [""House"", ""Flower"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""roses"", ""Peter"", ""chinese""], [""2"", ""carnations"", ""Bob"", ""dane""], [""3"", ""daffodils"", ""Alice"", ""german""], [""4"", ""tulips"", ""Arnold"", ""swede""], [""5"", ""iris"", ""Carol"", ""brit""], [""6"", ""lilies"", ""Eric"", ""norwegian""]]}",19
lgp-test-4x4-14,"{""header"": [""House"", ""Are"", ""Genre"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""Holly"", ""mystery"", ""Alice"", ""desert""], [""2"", ""Kailyn"", ""science fiction"", ""Arnold"", ""watermelon""], [""3"", ""Janelle"", ""fantasy"", ""Peter"", ""dragonfruit""], [""4"", ""Aniya"", ""romance"", ""Eric"", ""cherry""]]}",22
lgp-test-2x4-39,"{""header"": [""House"", ""Lunch"", ""Name"", ""Occupation"", ""Pet""], ""rows"": [[""1"", ""pizza"", ""Arnold"", ""doctor"", ""dog""], [""2"", ""grilled cheese"", ""Eric"", ""engineer"", ""cat""]]}",9
lgp-test-4x3-37,"{""header"": [""House"", ""Hobby"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""photography"", ""Arnold"", ""dragonfruit""], [""2"", ""cooking"", ""Alice"", ""desert""], [""3"", ""gardening"", ""Eric"", ""watermelon""], [""4"", ""painting"", ""Peter"", ""cherry""]]}",13
lgp-test-2x5-24,"{""header"": [""House"", ""Child"", ""Education"", ""Genre"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""Fred"", ""associate"", ""mystery"", ""Eric"", ""cherry""], [""2"", ""Bella"", ""high school"", ""science fiction"", ""Arnold"", ""desert""]]}",11
lgp-test-2x2-29,"{""header"": [""House"", ""Drink"", ""Name""], ""rows"": [[""1"", ""tea"", ""Eric""], [""2"", ""water"", ""Arnold""]]}",5
lgp-test-6x4-30,"{""header"": [""House"", ""Drink"", ""Genre"", ""Model"", ""Name""], ""rows"": [[""1"", ""water"", ""mystery"", ""xiaomi mi 11"", ""Bob""], [""2"", ""boba tea"", ""romance"", ""samsung galaxy s21"", ""Carol""], [""3"", ""tea"", ""fantasy"", ""huawei p50"", ""Arnold""], [""4"", ""root beer"", ""biography"", ""oneplus 9"", ""Eric""], [""5"", ""milk"", ""science fiction"", ""google pixel 6"", ""Peter""], [""6"", ""coffee"", ""historical fiction"", ""iphone 13"", ""Alice""]]}",61
lgp-test-2x5-1,,0
lgp-test-5x2-5,"{""header"": [""House"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""Bob"", ""mountain""], [""2"", ""Alice"", ""city""], [""3"", ""Peter"", ""beach""], [""4"", ""Eric"", ""cruise""], [""5"", ""Arnold"", ""camping""]]}",11
lgp-test-2x3-21,"{""header"": [""House"", ""Cigar"", ""Flower"", ""Name""], ""rows"": [[""1"", ""pall mall"", ""carnations"", ""Eric""], [""2"", ""prince"", ""daffodils"", ""Arnold""]]}",7
lgp-test-6x3-31,"{""header"": [""House"", ""House"", ""Lunch"", ""Name""], ""rows"": [[""1"", ""colonial"", ""stew"", ""Alice""], [""2"", ""victorian"", ""grilled cheese"", ""Carol""], [""3"", ""modern"", ""spaghetti"", ""Bob""], [""4"", ""craftsman"", ""stir fry"", ""Eric""], [""5"", ""ranch"", ""soup"", ""Peter""], [""6"", ""mediterranean"", ""pizza"", ""Arnold""]]}",24
lgp-test-4x6-12,"{""header"": [""House"", ""Animal"", ""Cigar"", ""Flower"", ""House"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""horse"", ""prince"", ""carnations"", ""ranch"", ""Eric"", ""doctor""], [""2"", ""fish"", ""blue master"", ""lilies"", ""craftsman"", ""Alice"", ""artist""], [""3"", ""cat"", ""pall mall"", ""daffodils"", ""colonial"", ""Arnold"", ""engineer""], [""4"", ""bird"", ""dunhill"", ""roses"", ""victorian"", ""Peter"", ""teacher""]]}",35
lgp-test-2x2-5,"{""header"": [""House"", ""House"", ""Name""], ""rows"": [[""1"", ""victorian"", ""Eric""], [""2"", ""colonial"", ""Arnold""]]}",5
lgp-test-6x5-6,"{""header"": [""House"", ""Genre"", ""Month"", ""Name"", ""Pet""], ""rows"": [[""1"", ""fantasy"", ""mar"", ""Peter"", ""dog""], [""2"", ""science fiction"", ""jan"", ""Carol"", ""cat""], [""3"", ""historical fiction"", ""feb"", ""Arnold"", ""hamster""], [""4"", ""biography"", ""may"", ""Eric"", ""rabbit""], [""5"", ""romance"", ""sept"", ""Alice"", ""fish""], [""6"", ""mystery"", ""april"", ""Bob"", ""bird""]]}",27
lgp-test-5x2-39,"{""header"": [""House"", ""Education"", ""Name""], ""rows"": [[""1"", ""high school"", ""Eric""], [""2"", ""associate"", ""Peter""], [""3"", ""master"", ""Alice""], [""4"", ""doctorate"", ""Bob""], [""5"", ""bachelor"", ""Arnold""]]}",20
lgp-test-4x2-39,"{""header"": [""House"", ""Lunch"", ""Name""], ""rows"": [[""1"", ""spaghetti"", ""Peter""], [""2"", ""stew"", ""Arnold""], [""3"", ""pizza"", ""Alice""], [""4"", ""grilled cheese"", ""Eric""]]}",9
lgp-test-5x5-9,"{""header"": [""House"", ""Color"", ""Drink"", ""Flower"", ""Hobby"", ""Name""], ""rows"": [[""1"", ""yellow"", ""root beer"", ""carnations"", ""gardening"", ""Eric""], [""2"", ""white"", ""tea"", ""daffodils"", ""painting"", ""Alice""], [""3"", ""red"", ""water"", ""roses"", ""knitting"", ""Peter""], [""4"", ""blue"", ""milk"", ""tulips"", ""cooking"", ""Bob""], [""5"", ""green"", ""coffee"", ""lilies"", ""photography"", ""Arnold""]]}",26
lgp-test-2x6-33,,0
lgp-test-5x5-32,"{""header"": [""House"", ""Animal"", ""Drink"", ""Name"", ""Smoothie"", ""Vacation""], ""rows"": [[""1"", ""fish"", ""water"", ""Peter"", ""watermelon"", ""beach""], [""2"", ""bird"", ""milk"", ""Bob"", ""dragonfruit"", ""camping""], [""3"", ""cat"", ""coffee"", ""Eric"", ""cherry"", ""cruise""], [""4"", ""dog"", ""tea"", ""Alice"", ""desert"", ""mountain""], [""5"", ""horse"", ""root beer"", ""Arnold"", ""lime"", ""city""]]}",48
lgp-test-5x2-26,"{""header"": [""House"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""Eric"", ""cruise""], [""2"", ""Bob"", ""mountain""], [""3"", ""Alice"", ""beach""], [""4"", ""Arnold"", ""city""], [""5"", ""Peter"", ""camping""]]}",11
lgp-test-4x6-11,"{""header"": [""House"", ""Animal"", ""Genre"", ""Hobby"", ""Month"", ""Name""], ""rows"": [[""1"", ""bird"", ""classical"", ""painting"", ""sept"", ""Eric""], [""2"", ""fish"", ""pop"", ""photography"", ""feb"", ""Peter""], [""3"", ""horse"", ""rock"", ""gardening"", ""april"", ""Arnold""], [""4"", ""cat"", ""jazz"", ""cooking"", ""jan"", ""Alice""]]}",25
lgp-test-2x2-17,"{""header"": [""House"", ""Cigar"", ""Name""], ""rows"": [[""1"", ""pall mall"", ""Arnold""], [""2"", ""prince"", ""Eric""]]}",5
lgp-test-5x5-22,"{""header"": [""House"", ""Are"", ""Education"", ""House"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""Aniya"", ""bachelor"", ""ranch"", ""Eric"", ""mountain""], [""2"", ""Janelle"", ""associate"", ""victorian"", ""Alice"", ""beach""], [""3"", ""Penny"", ""doctorate"", ""colonial"", ""Arnold"", ""city""], [""4"", ""Kailyn"", ""master"", ""craftsman"", ""Bob"", ""cruise""], [""5"", ""Holly"", ""high school"", ""modern"", ""Peter"", ""camping""]]}",32
lgp-test-6x4-34,"{""header"": [""House"", ""Are"", ""Genre"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""Penny"", ""science fiction"", ""Alice"", ""german""], [""2"", ""Kailyn"", ""historical fiction"", ""Arnold"", ""dane""], [""3"", ""Sarah"", ""romance"", ""Carol"", ""norwegian""], [""4"", ""Aniya"", ""mystery"", ""Peter"", ""brit""], [""5"", ""Holly"", ""biography"", ""Bob"", ""chinese""], [""6"", ""Janelle"", ""fantasy"", ""Eric"", ""swede""]]}",30
lgp-test-4x4-30,"{""header"": [""House"", ""Flower"", ""Name"", ""Occupation"", ""Smoothie""], ""rows"": [[""1"", ""lilies"", ""Alice"", ""engineer"", ""dragonfruit""], [""2"", ""roses"", ""Eric"", ""teacher"", ""cherry""], [""3"", ""carnations"", ""Peter"", ""doctor"", ""desert""], [""4"", ""daffodils"", ""Arnold"", ""artist"", ""watermelon""]]}",27
lgp-test-4x6-13,"{""header"": [""House"", ""Child"", ""Cigar"", ""House"", ""Month"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""Fred"", ""pall mall"", ""victorian"", ""feb"", ""Alice"", ""doctor""], [""2"", ""Bella"", ""blue master"", ""ranch"", ""sept"", ""Arnold"", ""teacher""], [""3"", ""Samantha"", ""dunhill"", ""colonial"", ""april"", ""Eric"", ""artist""], [""4"", ""Meredith"", ""prince"", ""craftsman"", ""jan"", ""Peter"", ""engineer""]]}",25
lgp-test-2x5-18,"{""header"": [""House"", ""Drink"", ""Genre"", ""Hobby"", ""Model"", ""Name""], ""rows"": [[""1"", ""water"", ""science fiction"", ""photography"", ""tesla model 3"", ""Arnold""], [""2"", ""tea"", ""mystery"", ""gardening"", ""ford f150"", ""Eric""]]}",11
lgp-test-2x6-31,"{""header"": [""House"", ""Drink"", ""Model"", ""Month"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""water"", ""iphone 13"", ""april"", ""Eric"", ""dane""], [""2"", ""tea"", ""samsung galaxy s21"", ""sept"", ""Arnold"", ""brit""]]}",11
lgp-test-2x2-4,"{""header"": [""House"", ""Model"", ""Name""], ""rows"": [[""1"", ""tesla model 3"", ""Eric""], [""2"", ""ford f150"", ""Arnold""]]}",5
lgp-test-4x3-3,"{""header"": [""House"", ""Cigar"", ""Height"", ""Name""], ""rows"": [[""1"", ""pall mall"", ""tall"", ""Peter""], [""2"", ""dunhill"", ""very short"", ""Arnold""], [""3"", ""prince"", ""average"", ""Alice""], [""4"", ""blue master"", ""short"", ""Eric""]]}",13
lgp-test-2x2-20,"{""header"": [""House"", ""Child"", ""Name""], ""rows"": [[""1"", ""Fred"", ""Arnold""], [""2"", ""Bella"", ""Eric""]]}",5
lgp-test-3x2-13,"{""header"": [""House"", ""Hobby"", ""Name""], ""rows"": [[""1"", ""photography"", ""Eric""], [""2"", ""cooking"", ""Arnold""], [""3"", ""gardening"", ""Peter""]]}",7
lgp-test-2x3-24,"{""header"": [""House"", ""Drink"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""water"", ""Arnold"", ""engineer""], [""2"", ""tea"", ""Eric"", ""doctor""]]}",7
lgp-test-4x2-11,"{""header"": [""House"", ""Name"", ""Smoothie""], ""rows"": [[""1"", ""Alice"", ""dragonfruit""], [""2"", ""Peter"", ""cherry""], [""3"", ""Arnold"", ""watermelon""], [""4"", ""Eric"", ""desert""]]}",9
lgp-test-3x4-21,"{""header"": [""House"", ""Animal"", ""Child"", ""Genre"", ""Name""], ""rows"": [[""1"", ""bird"", ""Fred"", ""rock"", ""Eric""], [""2"", ""horse"", ""Meredith"", ""pop"", ""Peter""], [""3"", ""cat"", ""Bella"", ""classical"", ""Arnold""]]}",13
lgp-test-3x5-13,"{""header"": [""House"", ""Animal"", ""Flower"", ""House"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""bird"", ""daffodils"", ""colonial"", ""Peter"", ""brit""], [""2"", ""cat"", ""carnations"", ""victorian"", ""Eric"", ""swede""], [""3"", ""horse"", ""lilies"", ""ranch"", ""Arnold"", ""dane""]]}",16
lgp-test-2x6-32,"{""header"": [""House"", ""Animal"", ""Flower"", ""Genre"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""cat"", ""carnations"", ""rock"", ""Arnold"", ""brit""], [""2"", ""horse"", ""daffodils"", ""pop"", ""Eric"", ""dane""]]}",11
lgp-test-5x3-24,"{""header"": [""House"", ""Hobby"", ""Name"", ""Pet""], ""rows"": [[""1"", ""cooking"", ""Alice"", ""bird""], [""2"", ""gardening"", ""Peter"", ""cat""], [""3"", ""photography"", ""Bob"", ""fish""], [""4"", ""knitting"", ""Arnold"", ""dog""], [""5"", ""painting"", ""Eric"", ""hamster""]]}",16
lgp-test-3x3-22,"{""header"": [""House"", ""Animal"", ""Color"", ""Name""], ""rows"": [[""1"", ""cat"", ""black"", ""Peter""], [""2"", ""bird"", ""blonde"", ""Eric""], [""3"", ""horse"", ""brown"", ""Arnold""]]}",10
lgp-test-5x3-7,"{""header"": [""House"", ""Genre"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""romance"", ""Bob"", ""mountain""], [""2"", ""biography"", ""Eric"", ""city""], [""3"", ""mystery"", ""Peter"", ""beach""], [""4"", ""science fiction"", ""Alice"", ""cruise""], [""5"", ""fantasy"", ""Arnold"", ""camping""]]}",16
lgp-test-6x2-10,"{""header"": [""House"", ""Genre"", ""Name""], ""rows"": [[""1"", ""pop"", ""Peter""], [""2"", ""rock"", ""Eric""], [""3"", ""hip hop"", ""Bob""], [""4"", ""jazz"", ""Arnold""], [""5"", ""classical"", ""Alice""], [""6"", ""country"", ""Carol""]]}",13
lgp-test-3x2-32,"{""header"": [""House"", ""Cigar"", ""Name""], ""rows"": [[""1"", ""blue master"", ""Peter""], [""2"", ""pall mall"", ""Arnold""], [""3"", ""prince"", ""Eric""]]}",7
lgp-test-5x6-35,"{""header"": [""House"", ""Child"", ""Color"", ""Flower"", ""Hobby"", ""Name"", ""Pet""], ""rows"": [[""1"", ""Meredith"", ""blonde"", ""tulips"", ""photography"", ""Alice"", ""fish""], [""2"", ""Samantha"", ""red"", ""carnations"", ""cooking"", ""Eric"", ""hamster""], [""3"", ""Bella"", ""black"", ""roses"", ""painting"", ""Arnold"", ""cat""], [""4"", ""Fred"", ""brown"", ""daffodils"", ""knitting"", ""Bob"", ""dog""], [""5"", ""Timothy"", ""gray"", ""lilies"", ""gardening"", ""Peter"", ""bird""]]}",31
lgp-test-5x4-1,"{""header"": [""House"", ""Are"", ""Color"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""Kailyn"", ""blonde"", ""Alice"", ""artist""], [""2"", ""Penny"", ""gray"", ""Eric"", ""doctor""], [""3"", ""Aniya"", ""red"", ""Arnold"", ""engineer""], [""4"", ""Holly"", ""black"", ""Bob"", ""lawyer""], [""5"", ""Janelle"", ""brown"", ""Peter"", ""teacher""]]}",21
lgp-test-6x2-4,"{""header"": [""House"", ""Model"", ""Name""], ""rows"": [[""1"", ""huawei p50"", ""Eric""], [""2"", ""samsung galaxy s21"", ""Peter""], [""3"", ""xiaomi mi 11"", ""Bob""], [""4"", ""iphone 13"", ""Alice""], [""5"", ""google pixel 6"", ""Carol""], [""6"", ""oneplus 9"", ""Arnold""]]}",13
lgp-test-4x4-2,"{""header"": [""House"", ""Color"", ""Height"", ""Name""], ""rows"": [[""1"", ""green"", ""very short"", ""Alice""], [""2"", ""red"", ""tall"", ""Peter""], [""3"", ""yellow"", ""average"", ""Eric""], [""4"", ""white"", ""short"", ""Arnold""]]}",13
lgp-test-3x6-0,"{""header"": [""House"", ""Color"", ""Drink"", ""Education"", ""Flower"", ""Model"", ""Name""], ""rows"": [[""1"", ""red"", ""milk"", ""associate"", ""lilies"", ""google pixel 6"", ""Eric""], [""2"", ""white"", ""tea"", ""bachelor"", ""daffodils"", ""iphone 13"", ""Arnold""], [""3"", ""yellow"", ""water"", ""high school"", ""carnations"", ""samsung galaxy s21"", ""Peter""]]}",19
lgp-test-6x2-38,"{""header"": [""House"", ""Child"", ""Name""], ""rows"": [[""1"", ""Alice"", ""Alice""], [""2"", ""Meredith"", ""Bob""], [""3"", ""Timothy"", ""Carol""], [""4"", ""Bella"", ""Eric""], [""5"", ""Fred"", ""Arnold""], [""6"", ""Samantha"", ""Peter""]]}",13
lgp-test-3x2-36,"{""header"": [""House"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""Eric"", ""teacher""], [""2"", ""Peter"", ""engineer""], [""3"", ""Arnold"", ""doctor""]]}",7
lgp-test-5x2-27,"{""header"": [""House"", ""Height"", ""Name""], ""rows"": [[""1"", ""very tall"", ""Eric""], [""2"", ""short"", ""Peter""], [""3"", ""very short"", ""Bob""], [""4"", ""tall"", ""Alice""], [""5"", ""average"", ""Arnold""]]}",11
lgp-test-6x5-37,"{""header"": [""House"", ""Child"", ""Name"", ""Nationalitie"", ""Pet"", ""Vacation""], ""rows"": [[""1"", ""Bella"", ""Carol"", ""dane"", ""dog"", ""city""], [""2"", ""Timothy"", ""Eric"", ""brit"", ""rabbit"", ""mountain""], [""3"", ""Fred"", ""Alice"", ""chinese"", ""cat"", ""cultural""], [""4"", ""Meredith"", ""Bob"", ""swede"", ""bird"", ""camping""], [""5"", ""Alice"", ""Peter"", ""german"", ""hamster"", ""beach""], [""6"", ""Samantha"", ""Arnold"", ""norwegian"", ""fish"", ""cruise""]]}",125
lgp-test-4x6-22,"{""header"": [""House"", ""Child"", ""Drink"", ""Flower"", ""Name"", ""Occupation"", ""Sport""], ""rows"": [[""1"", ""Bella"", ""coffee"", ""lilies"", ""Arnold"", ""teacher"", ""swimming""], [""2"", ""Samantha"", ""tea"", ""daffodils"", ""Alice"", ""artist"", ""basketball""], [""3"", ""Fred"", ""milk"", ""roses"", ""Peter"", ""doctor"", ""tennis""], [""4"", ""Meredith"", ""water"", ""carnations"", ""Eric"", ""engineer"", ""soccer""]]}",29
lgp-test-3x3-32,"{""header"": [""House"", ""Hobby"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""photography"", ""Arnold"", ""engineer""], [""2"", ""gardening"", ""Eric"", ""teacher""], [""3"", ""cooking"", ""Peter"", ""doctor""]]}",10
lgp-test-3x2-1,"{""header"": [""House"", ""Hobby"", ""Name""], ""rows"": [[""1"", ""cooking"", ""Peter""], [""2"", ""photography"", ""Arnold""], [""3"", ""gardening"", ""Eric""]]}",7
lgp-test-2x2-13,"{""header"": [""House"", ""Education"", ""Name""], ""rows"": [[""1"", ""associate"", ""Eric""], [""2"", ""high school"", ""Arnold""]]}",5
lgp-test-4x2-27,"{""header"": [""House"", ""Color"", ""Name""], ""rows"": [[""1"", ""red"", ""Arnold""], [""2"", ""yellow"", ""Eric""], [""3"", ""white"", ""Alice""], [""4"", ""green"", ""Peter""]]}",9
lgp-test-3x2-39,"{""header"": [""House"", ""Cigar"", ""Name""], ""rows"": [[""1"", ""pall mall"", ""Eric""], [""2"", ""prince"", ""Arnold""], [""3"", ""blue master"", ""Peter""]]}",7
lgp-test-2x4-4,"{""header"": [""House"", ""Education"", ""Height"", ""House"", ""Name""], ""rows"": [[""1"", ""associate"", ""short"", ""victorian"", ""Arnold""], [""2"", ""high school"", ""very short"", ""colonial"", ""Eric""]]}",9
